cutter,cut,remote_path,download_ok,errors,rows,local_bytes
C1,1,c1/c1/c_1_001.csv,True,[],127399,5530576
C1,50,c1/c1/c_1_050.csv,True,[],219065,9615203
C1,100,c1/c1/c_1_100.csv,True,[],219397,9730150
C1,150,c1/c1/c_1_150.csv,True,[],219574,9859627
C1,200,c1/c1/c_1_200.csv,True,[],219861,10017445
C1,250,c1/c1/c_1_250.csv,True,[],219939,10074718
C1,315,c1/c1/c_1_315.csv,True,[],252492,11584594
C4,1,c4/c4/c_4_001.csv,True,[],165597,7265211
C4,50,c4/c4/c_4_050.csv,True,[],223334,9805369
C4,100,c4/c4/c_4_100.csv,True,[],223513,9940691
C4,150,c4/c4/c_4_150.csv,True,[],223958,10049177
C4,200,c4/c4/c_4_200.csv,True,[],223981,10177433
C4,250,c4/c4/c_4_250.csv,True,[],221270,10140876
C4,315,c4/c4/c_4_315.csv,True,[],223137,10244353
C6,1,c6/c6/c_6_001.csv,True,[],192315,8338142
C6,50,c6/c6/c_6_050.csv,True,[],219075,9599067
C6,100,c6/c6/c_6_100.csv,True,[],219463,9729860
C6,150,c6/c6/c_6_150.csv,True,[],220308,9826802
C6,200,c6/c6/c_6_200.csv,True,[],219619,9951973
C6,250,c6/c6/c_6_250.csv,True,[],219679,10032389
C6,315,c6/c6/c_6_315.csv,True,[],218837,10046883
