representation,heldout_cutter,seed,n_train_cuts,n_test_cuts,wear_mae,wear_nmae_range,wear_r2
fixed_patch,C1,7,30,15,17.64934514363607,0.14059986769642718,0.3579213626142931
fixed_patch,C1,17,30,15,17.41926498413086,0.13876698156253742,0.46949933120568554
fixed_patch,C1,29,30,15,18.659953308105468,0.14865066918854722,0.311796223757585
fixed_patch,C1,41,30,15,21.835111745198567,0.17394491396291806,0.044493936763989606
fixed_patch,C1,53,30,15,21.6067626953125,0.17212581835674695,0.19237824016137195
process_token,C1,7,30,15,15.092862701416017,0.12023417762582508,0.40411635301216886
process_token,C1,17,30,15,15.317359670003258,0.12202258642086734,0.4429331231378726
process_token,C1,29,30,15,15.418221282958987,0.12282607965655473,0.45803339962915635
process_token,C1,41,30,15,15.66466751098633,0.12478934269962702,0.2900642360501511
process_token,C1,53,30,15,20.346419525146484,0.16208555445260242,-0.07006291632620587
random_phase,C1,7,30,15,16.618535614013673,0.13238813619559106,0.24943042032713714
random_phase,C1,17,30,15,17.741107432047524,0.14133087303997807,0.28943405534242717
random_phase,C1,29,30,15,18.083016713460285,0.14405462280743891,0.2007101158590674
random_phase,C1,41,30,15,17.19893061319987,0.1370117332431377,0.1514584597407116
random_phase,C1,53,30,15,18.210416412353517,0.14506952623094704,0.058370241611555795
fixed_patch,C4,7,30,15,23.7789363861084,0.1329458070095013,0.6091030817400556
fixed_patch,C4,17,30,15,22.77066815694173,0.12730867374028948,0.5996426176526335
fixed_patch,C4,29,30,15,22.73838259379069,0.12712816817947814,0.6233754566665566
fixed_patch,C4,41,30,15,24.34893862406413,0.13613263615491744,0.5603974057623475
fixed_patch,C4,53,30,15,25.109115727742513,0.14038271516928869,0.5944291372951319
process_token,C4,7,30,15,39.4879207611084,0.22077326788172455,-0.594644578205989
process_token,C4,17,30,15,33.394225184122725,0.18670398643876374,-0.168893374272445
process_token,C4,29,30,15,40.07793795267741,0.22407199875887374,-0.39582835685287887
process_token,C4,41,30,15,36.891391372680665,0.2062563151735254,-0.16807548068532685
process_token,C4,53,30,15,39.351938501993814,0.2200130038024815,-0.36851240282217135
random_phase,C4,7,30,15,38.92295748392741,0.2176146110942226,-0.19406638785258257
random_phase,C4,17,30,15,45.669025293986,0.2553312446133317,-0.7146705656141168
random_phase,C4,29,30,15,43.99795748392741,0.24598846094258572,-0.5833635666207373
random_phase,C4,41,30,15,36.72802543640137,0.20534295151907692,-0.03286470508451078
random_phase,C4,53,30,15,41.96295789082845,0.2346109687463158,-0.42763835253973803
fixed_patch,C6,7,30,15,33.81163558959961,0.18096556346524384,0.2808787806081452
fixed_patch,C6,17,30,15,33.5179936726888,0.17939394251215618,0.34634601040089175
fixed_patch,C6,29,30,15,31.268721262613933,0.16735545806802504,0.41754921525085154
fixed_patch,C6,41,30,15,31.79918212890625,0.1701945738898689,0.36998454535295366
fixed_patch,C6,53,30,15,32.32634709676107,0.1730160495086446,0.3383672274896997
process_token,C6,7,30,15,40.9789072672526,0.21932600758566728,0.03761972848529005
process_token,C6,17,30,15,39.412863159179686,0.21094427598685597,0.07878801338208541
process_token,C6,29,30,15,38.044829813639325,0.20362233131018068,0.17492693432973194
process_token,C6,41,30,15,40.688236999511716,0.21777029139900334,0.01844183388471532
process_token,C6,53,30,15,43.53286336263021,0.2329952103854179,-0.0959609797090184
random_phase,C6,7,30,15,35.56977132161458,0.19037540176038784,0.2842224154086469
random_phase,C6,17,30,15,32.067633056640624,0.17163136842976867,0.4181616833099502
random_phase,C6,29,30,15,30.87118428548177,0.16522777326927132,0.44035229569355716
random_phase,C6,41,30,15,31.80290273030599,0.17021448717465953,0.43968691794920434
random_phase,C6,53,30,15,33.34503911336263,0.17846826060601464,0.38793272106529575
