cutter,cut,peak_hz,freq_error_pct,valid_cycles,median_period_samples,period_cv,random_phase_shift_samples
C1,1,172.6844583987441,0.37435092380147894,219,287.0,0.023717174083458286,129
C1,23,173.95019531249997,0.3558819110576704,378,288.0,0.0061560631001724075,35
C1,46,173.95019531249997,0.3558819110576704,378,288.0,0.005909963302205464,155
C1,68,173.95019531249997,0.3558819110576704,379,288.0,0.006102067688411491,247
C1,91,173.95019531249997,0.3558819110576704,379,288.0,0.00545740812804073,15
C1,113,173.95019531249997,0.3558819110576704,379,288.0,0.004209783875075344,40
C1,136,173.95019531249997,0.3558819110576704,379,288.0,0.010293267857082606,249
C1,158,173.95019531249997,0.3558819110576704,380,288.0,0.006986149375679346,142
C1,180,173.95019531249997,0.3558819110576704,380,288.0,0.00496044479202258,172
C1,203,173.95019531249997,0.3558819110576704,380,288.0,0.009990291960928033,217
C1,225,173.95019531249997,0.3558819110576704,381,288.0,0.011957677544880757,18
C1,248,173.95019531249997,0.3558819110576704,379,288.0,0.011372243577458916,282
C1,270,173.95019531249997,0.3558819110576704,380,288.0,0.012181521530942789,217
C1,293,173.95019531249997,0.3558819110576704,379,288.0,0.007930787407987857,239
C1,315,173.95019531249997,0.3558819110576704,436,288.0,0.010658915222262658,232
C4,1,173.95019531249997,0.3558819110576704,286,288.0,0.01146759606425965,180
C4,23,173.95019531249997,0.3558819110576704,386,288.0,0.004658807171766182,150
C4,46,173.95019531249997,0.3558819110576704,386,288.0,0.007638885793436031,247
C4,68,173.95019531249997,0.3558819110576704,386,288.0,0.008307619571998581,262
C4,91,173.95019531249997,0.3558819110576704,387,288.0,0.005913443490682802,119
C4,113,173.95019531249997,0.3558819110576704,393,288.0,0.0046762573132814195,273
C4,136,173.95019531249997,0.3558819110576704,387,288.0,0.004573281497667426,177
C4,158,173.95019531249997,0.3558819110576704,386,288.0,0.005671690466046087,206
C4,180,173.95019531249997,0.3558819110576704,386,288.0,0.006129472654602866,28
C4,203,173.95019531249997,0.3558819110576704,386,288.0,0.007953300279729947,19
C4,225,173.95019531249997,0.3558819110576704,391,288.0,0.008953699779351662,276
C4,248,173.95019531249997,0.3558819110576704,386,288.0,0.009295911188236458,171
C4,270,173.95019531249997,0.3558819110576704,386,288.0,0.010279306813301033,116
C4,293,173.95019531249997,0.3558819110576704,395,288.0,0.007090269211650686,254
C4,315,173.95019531249997,0.3558819110576704,385,288.0,0.009521260032168927,58
C6,1,173.95019531249997,0.3558819110576704,332,287.0,0.01873218399856108,225
C6,23,173.95019531249997,0.3558819110576704,378,288.0,0.004985885736097141,38
C6,46,173.95019531249997,0.3558819110576704,379,288.0,0.0056906658311117655,26
C6,68,173.95019531249997,0.3558819110576704,380,288.0,0.010819714511304472,139
C6,91,173.95019531249997,0.3558819110576704,379,288.0,0.005544914486521563,19
C6,113,173.95019531249997,0.3558819110576704,380,288.0,0.006326418730126675,32
C6,136,173.95019531249997,0.3558819110576704,381,288.0,0.004880525730669944,52
C6,158,173.95019531249997,0.3558819110576704,380,288.0,0.010250461303069065,157
C6,180,173.95019531249997,0.3558819110576704,380,288.0,0.006335007504400494,84
C6,203,173.95019531249997,0.3558819110576704,379,288.0,0.005291605514841365,156
C6,225,173.95019531249997,0.3558819110576704,380,288.0,0.010258382048526214,67
C6,248,173.95019531249997,0.3558819110576704,380,288.0,0.0060939604313110934,266
C6,270,173.95019531249997,0.3558819110576704,380,288.0,0.00702491544135653,149
C6,293,173.95019531249997,0.3558819110576704,380,288.0,0.007732062628335068,12
C6,315,173.95019531249997,0.3558819110576704,377,288.0,0.008880492242924693,263
