representation,heldout_cutter,seed,n_train_cuts,n_test_cuts,wear_mae,wear_nmae_range,wear_r2
fixed_patch,C1,7,30,15,17.648203786214193,0.14059077530794453,0.3576874183025873
fixed_patch,C1,17,30,15,18.425111134847004,0.1467798474543149,0.4017721077041384
fixed_patch,C1,29,30,15,18.658074696858723,0.14863570361953624,0.3119380932865715
fixed_patch,C1,41,30,15,22.058759053548176,0.1757265541149299,0.06363377043734542
fixed_patch,C1,53,30,15,21.561686960856118,0.1717667318156142,0.19660570212569572
process_token,C1,7,30,15,13.782240549723308,0.10979337658599467,0.479353559780224
process_token,C1,17,30,15,14.483346303304039,0.11537859096037606,0.5165084979934106
process_token,C1,29,30,15,17.671502939860027,0.14077638320973257,0.3213838347150241
process_token,C1,41,30,15,18.0701545715332,0.14395215920674873,0.0006304143954727337
process_token,C1,53,30,15,16.906101226806644,0.13467896833602958,0.2139203735208326
random_phase,C1,7,30,15,19.242407480875652,0.15329067021772128,0.2858074547169531
random_phase,C1,17,30,15,18.682798004150392,0.14883265674759494,0.2606594288388243
random_phase,C1,29,30,15,18.61171646118164,0.14826640029696012,0.3928520995990884
random_phase,C1,41,30,15,23.020064544677734,0.1833845960291592,-0.11091994378314296
random_phase,C1,53,30,15,23.6732790629069,0.1885882947552574,-0.3570799593227372
fixed_patch,C4,7,30,15,24.37492281595866,0.1362779113390054,0.5547126548746659
fixed_patch,C4,17,30,15,22.79028434753418,0.1274183460253076,0.5982610047048599
fixed_patch,C4,29,30,15,22.922075017293295,0.1281551753209057,0.6148170146412837
fixed_patch,C4,41,30,15,24.425907770792644,0.13656296344796798,0.5439656604497984
fixed_patch,C4,53,30,15,25.107885360717773,0.14037583630244763,0.5944856697283518
process_token,C4,7,30,15,37.83713798522949,0.2115438959378719,-0.11215333163043728
process_token,C4,17,30,15,32.99226137797038,0.18445664443280446,0.18187162348594554
process_token,C4,29,30,15,32.51500612894694,0.18178835501898494,0.11611033373670976
process_token,C4,41,30,15,34.86752433776856,0.19494106406778194,0.047369030219242436
process_token,C4,53,30,15,37.8001397450765,0.21133704224117147,-0.0859714601662327
random_phase,C4,7,30,15,37.36298688252767,0.2088929615155079,-0.19453907502026602
random_phase,C4,17,30,15,35.45294659932454,0.1982141051214329,-0.16765418696429202
random_phase,C4,29,30,15,30.580419540405273,0.17097226252993303,0.23410405116556432
random_phase,C4,41,30,15,33.314575322469075,0.1862586715195512,-0.1780751800418634
random_phase,C4,53,30,15,44.70331433614095,0.24993204506361452,-0.7863325612317043
fixed_patch,C6,7,30,15,33.8112787882487,0.18096365380437157,0.2809165443848436
fixed_patch,C6,17,30,15,33.49384587605794,0.17926469944101966,0.3476448634134617
fixed_patch,C6,29,30,15,31.2682497660319,0.167352934538975,0.4175661969076718
fixed_patch,C6,41,30,15,31.797920735677085,0.17018782270104035,0.3700356929208457
fixed_patch,C6,53,30,15,32.43931274414062,0.17362066066317108,0.3478427677655108
process_token,C6,7,30,15,38.336300659179685,0.20518233232394786,0.07845131435765107
process_token,C6,17,30,15,34.9583241780599,0.1871028337543425,0.2313644820736439
process_token,C6,29,30,15,34.68221893310547,0.18562507202061979,0.2301149101034642
process_token,C6,41,30,15,32.472608439127605,0.17379886482570914,0.3866634394653551
process_token,C6,53,30,15,38.77234751383464,0.20751612846760895,0.0517928763317731
random_phase,C6,7,30,15,33.802460225423175,0.18091645537215004,0.39002692704329
random_phase,C6,17,30,15,36.04406178792318,0.1929138841492176,0.3132296308545136
random_phase,C6,29,30,15,33.60786844889323,0.17987496743844367,0.4253667332347303
random_phase,C6,41,30,15,33.803765869140626,0.1809234433970383,0.3903934100141061
random_phase,C6,53,30,15,33.46073913574219,0.17908750659567918,0.365404924437822
