representation,heldout_cutter,seed,n_train_cuts,n_test_cuts,wear_mae,wear_nmae_range,wear_r2
fixed_raw,C1,7,30,15,23.368336741129557,0.18615903464685074,-0.023282840824250473
fixed_raw,C1,17,30,15,19.84282251993815,0.15807375278356772,0.250069928120244
fixed_raw,C1,29,30,15,17.849366505940754,0.1421932966224085,0.306269099679923
fixed_raw,C1,41,30,15,20.281646474202475,0.16156955330248013,0.14698203716472735
fixed_raw,C1,53,30,15,21.24683888753255,0.1692585595806953,0.18242350836366683
hybrid_phase,C1,7,30,15,21.896075693766274,0.17443057068463286,0.07473330096099351
hybrid_phase,C1,17,30,15,19.797526804606118,0.1577129138101628,0.22811245471260266
hybrid_phase,C1,29,30,15,20.473644256591797,0.16309906403402588,0.048098225118720195
hybrid_phase,C1,41,30,15,20.483973948160806,0.1631813533912869,0.06368816599095539
hybrid_phase,C1,53,30,15,22.04016087849935,0.1755783955895014,0.020092010727331577
hybrid_random_phase,C1,7,30,15,23.090660858154298,0.18394698699912895,-0.08620410911487153
hybrid_random_phase,C1,17,30,15,19.22103958129883,0.1531204472531296,0.21364667022257455
hybrid_random_phase,C1,29,30,15,19.81686935424805,0.15786700224225106,-0.012225575937349076
hybrid_random_phase,C1,41,30,15,19.795844268798827,0.15769951023569734,0.09586323699512922
hybrid_random_phase,C1,53,30,15,23.409701283772787,0.18648855674388212,-0.1252902936214051
fixed_raw,C4,7,30,15,25.558247502644857,0.14289376887238384,0.5337093681624545
fixed_raw,C4,17,30,15,23.067238489786785,0.12896677070455048,0.5606410516977843
fixed_raw,C4,29,30,15,23.92279472351074,0.13375010550504599,0.5696031827100962
fixed_raw,C4,41,30,15,23.99364636739095,0.1341462304124286,0.5687123186875429
fixed_raw,C4,53,30,15,30.38303082784017,0.16986868071868494,0.3194106307385426
hybrid_phase,C4,7,30,15,25.23266716003418,0.14107347965961262,0.539267548535537
hybrid_phase,C4,17,30,15,29.849210739135742,0.16688414258214518,0.32460080660314705
hybrid_phase,C4,29,30,15,30.05747235616048,0.16804851378424118,0.23593201542326225
hybrid_phase,C4,41,30,15,25.359018580118814,0.14177989861953555,0.47693015679667994
hybrid_phase,C4,53,30,15,25.345713933308918,0.14170551358488145,0.5531528825420753
hybrid_random_phase,C4,7,30,15,26.34535280863444,0.14729440094469878,0.4938134966393031
hybrid_random_phase,C4,17,30,15,29.294693120320638,0.1637838864925823,0.3862896453391561
hybrid_random_phase,C4,29,30,15,23.10715649922689,0.129189948557969,0.5761846292779433
hybrid_random_phase,C4,41,30,15,24.097248458862303,0.1347254600060019,0.5476829834301548
hybrid_random_phase,C4,53,30,15,34.7393861134847,0.19422465525287236,0.11003895029392463
fixed_raw,C6,7,30,15,33.136566162109375,0.17735247828927833,0.3303345176718122
fixed_raw,C6,17,30,15,33.088995869954424,0.17709787408058175,0.33397530252112273
fixed_raw,C6,29,30,15,31.106486002604168,0.16648714765565836,0.4125329342685399
fixed_raw,C6,41,30,15,31.938756306966145,0.17094159837825465,0.34640567715649806
fixed_raw,C6,53,30,15,30.95748341878255,0.16568966075303274,0.37267340881672395
hybrid_phase,C6,7,30,15,35.974726867675784,0.19254279198843946,0.18953450507089042
hybrid_phase,C6,17,30,15,35.24934844970703,0.18866044462948411,0.21734432088659883
hybrid_phase,C6,29,30,15,34.94979451497396,0.18705718156214302,0.21318945807049128
hybrid_phase,C6,41,30,15,36.894429779052736,0.19746519673685542,0.10544842824705869
hybrid_phase,C6,53,30,15,38.627820332845054,0.20674259467405687,0.08731903434929911
hybrid_random_phase,C6,7,30,15,34.944861857096356,0.18703078114711913,0.22507018115633215
hybrid_random_phase,C6,17,30,15,33.328721110026045,0.17838092390617924,0.33388102145278775
hybrid_random_phase,C6,29,30,15,33.027041625976565,0.17676628454121132,0.29037276459797434
hybrid_random_phase,C6,41,30,15,34.0178726196289,0.1820693787553308,0.2659377082462975
hybrid_random_phase,C6,53,30,15,33.98977788289388,0.18191901099656954,0.2997103175727224
