representation,heldout_cutter,seed,n_train_cuts,n_test_cuts,wear_mae,wear_nmae_range,wear_r2
ordered_composition,C1,7,30,15,26.060810089111328,0.20760806821843875,-2.2154704626223474
ordered_composition,C1,17,30,15,17.14322789510091,0.1365679890287599,0.37181275969648053
ordered_composition,C1,29,30,15,19.812746429443358,0.15783415781219745,0.23731991072941916
ordered_composition,C1,41,30,15,16.6022346496582,0.13225827792532374,0.5012974976695841
ordered_composition,C1,53,30,15,15.64750696818034,0.12465263677493206,0.45289145605490244
shuffled_composition,C1,7,30,15,22.910887908935546,0.18251486287951726,-1.3239014905821729
shuffled_composition,C1,17,30,15,18.62145004272461,0.1483439408666536,0.23414160898391456
shuffled_composition,C1,29,30,15,21.082546742757163,0.16794976009657897,-0.0082986555397635
shuffled_composition,C1,41,30,15,18.82673060099284,0.14997926609250586,0.29026117260849205
shuffled_composition,C1,53,30,15,15.987842559814453,0.1273638500673638,0.4932650518810888
ordered_composition,C4,7,30,15,37.67810478210449,0.2106547561888329,0.03207096314991709
ordered_composition,C4,17,30,15,32.239468510945635,0.18024784999420765,0.16793290447149978
ordered_composition,C4,29,30,15,28.93897310892741,0.1617950892135026,0.283484594286169
ordered_composition,C4,41,30,15,42.451073837280276,0.23733997930261447,-0.32780291857429433
ordered_composition,C4,53,30,15,32.64149030049642,0.18249551617991883,0.3209738159435427
shuffled_composition,C4,7,30,15,42.20792299906413,0.23598054573137336,-0.3679703144463111
shuffled_composition,C4,17,30,15,28.444973373413085,0.15903318294343075,0.276339393343664
shuffled_composition,C4,29,30,15,29.061968104044595,0.16248274271568094,0.3288114895018831
shuffled_composition,C4,41,30,15,33.716387049357095,0.18850516326458217,0.2603755813948082
shuffled_composition,C4,53,30,15,37.74158032735189,0.21100964201935363,-0.07563225113728889
ordered_composition,C6,7,30,15,39.43856608072917,0.21108184234825186,-0.07866483197798302
ordered_composition,C6,17,30,15,36.54749501546224,0.1956083435002688,0.2171051267551677
ordered_composition,C6,29,30,15,28.33136749267578,0.15163424639623233,0.5341632417222946
ordered_composition,C6,41,30,15,32.00826822916667,0.17131363788327167,0.4554397908951182
ordered_composition,C6,53,30,15,33.0890391031901,0.17709810547213434,0.29249263721840935
shuffled_composition,C6,7,30,15,42.40663553873698,0.22696744955140002,-0.1705697951566818
shuffled_composition,C6,17,30,15,35.0062744140625,0.1873594714864483,0.33280807512819743
shuffled_composition,C6,29,30,15,28.823253885904947,0.15426690514696673,0.5403525163861942
shuffled_composition,C6,41,30,15,32.68271331787109,0.17492338149299236,0.43965374156343917
shuffled_composition,C6,53,30,15,33.23704528808594,0.17789025948003612,0.3189828258899773
